delegates,voting_power
0xc8B19839ae371bd541F20B15c3A3CB82BFB6A6C6,0
0x5A56753f9d86182D1837190fa4A162074f93fe5E,0.173024
0xbf0adEb763A2FEC6bc32A5bf6330B093e3D7a1A3,0
0x93Fd28E63Aa4766456c3043FEd473088CC001007,0
0x0482F3f1b214324679fFA271CfB787bB07C03970,0
0xA251F7F7C82a0f1A975865dB5D15a62BCBE3fa62,0
0x39E7586DfD579dC60b453e67A6c421d486B656C8,0
0x04A6e9409c652808b0CC773cb34aD2aED699C77F,0
0x1241F2551c64c80E60f5275C6e60FdA3686fB524,0.123
0xEa9E3023667e9B68Fa05DD5d320f2E6353e9Be65,0.16
0x12BD883e40b5529e0D85Fa951cAE4Fa1c62049Cd,0.227
0x9eB0f5B8C45A5D9Bc1Cf5EA9D0BB516ec978e422,0
0xE71Ca9f39445beDac244CE97dC9D6CbD300CF09E,0.13
0x99Fb218500CB684d6Dc62873Ff52f73cc697D129,0.11
0x5bEe16e60327c862d7436f72426C91f832C3e686,0.15
0x70a9B6766cbe512A1546c8Cc01aA78b8381fAbF3,0
0x0b6D3c24aca26F589f085c3db5F2E58eEFabEbDD,0.5
0xDF908B4089576e01eEB69876aa9a14fBB104297E,0
0x1d006300489e84ECc76c37f86D03A9e37632B3B6,0
0x946a2C2C160f8879Eb41b862a1981E844b467748,1.03
0x7DcC0819A1e3C46274A6F7b09c942f7b8b60A313,0
0x38f8Ac1a008A55f2C8BBDDB1DaA8B0efADf053eb,1.03867
0xf117BD4094A597c54c2EC95aF728f326FDfe3C87,0
0xE36BD8C15a83b89E2E49806d7312846069755C63,18.7681
0x340a072A1Ae126Cd10e0718B01e3244C86d87CD9,1.12
0x3a7a03a5911f82f5FBc5370a937f9412D98778f0,0
0x2b7dc0aF322ffb29B5809a841f0F9a0495D7106f,0
0x7b0E8a6E9c5c2322116F91763A97E7aBfa19d631,0
0xb86656135aA7E457ac311f05eF5c3e56b66894eb,0
0x3acc003815EF955e73dC616BE7dBD887aB5e1224,0
0x936EFD6D0245ea392FC1b31d1ACC9E2dd78dB9c0,1.2
0x6DF932a2876E79Ce588729079C7852842b651823,0
0x676c7eF3D7cCc17E3E278A7E8E88bf23bcF93174,0
0x5A2aaBD363879642F17e19D69D2c767651834dbe,0
0xFfEC201B8Ff2aF100Dc9E1A682CF7FDa38cfbb27,0
0x1a01A511f05efA5a3F1E0B8930e86002cBc00C95,0.175
0x6167976b44b03a554c45493ffe2D7f25206aEf45,0.165
0xb433e17a4a793763eA1f025C61D51837485561a6,0.169
0x79Ed254869F228D6104002F4F1e6e9c86c5d3148,0.17
0x77b49c5f29bbeC80c658eF72ea483Ab48c3e1aE4,0.22
0xC88b614BA5CaE6FF9779B183b4d8d6f6bBF35558,0
0xe4A1467eA8bFC448dd5F2A317DC99FDEF89a155B,0.2
0x97BE007C6180da2B11C695D5e109d014a637a624,0.22
0xa8676CbC8f7b5Ed67D146247E02f78E3821b9438,0.2
0xF5496fc3bd62C04fd0107E88dA44F43B67E9352d,0.21
0x400564b4642c8E7305edfF6526d3b4298F658A1f,0.178
0x06350eD276c8A8cC99b6db3374D41d8CA6bb9EF3,0.17
0xeF839BBFa87a2c9025d6736Fe9e40bb7907fC2D5,0.18
